carname,price,milage,hubraum,power,fuel_type,transmission,construction_year,first_registration,num_seats,num_doors,emission_class,car_type,num_owners,damage
Mercedes-Benz G 63 AMG | Individual | 24Karat Gold | One OFF,114.500 € (Brutto),74.500 km,5.461 cm³,400 kW (544 PS),Benzin,Automatik,-1,11/2012,5,4/5,Euro5,SUV / Geländewagen / Pickup,2,Unfallfrei
Mercedes-Benz GLE 350 de 4M AMG WideScreen 360° Pano,99.169 € (Brutto),8.500 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,12/2020,-1,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz G 63 AMG Automatik COMAND AHK DISTRONIC,97.475 € (Brutto),32.743 km,5.461 cm³,420 kW (571 PS),"Benzin, E10-geeignet",Automatik,-1,03/2018,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz SL 63 AMG V8+LED+Bang & Olufsen,107.990 €,16.190 km,5.461 cm³,420 kW (571 PS),Benzin,Automatik,-1,08/2019,2,2/3,Euro6,Cabrio / Roadster,1,-1
Mercedes-Benz AMG GT S Coupe*Keramikbremse*LED*,101.990 € (Brutto),24.990 km,3.982 cm³,384 kW (522 PS),Benzin,Automatik,-1,07/2018,2,2/3,Euro6,Sportwagen / Coupé,-1,-1
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE NIGHT+AHK+SD+ MBUX,101.971 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE NIGHT+AHK+SD+ MBUX,101.971 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Diesel, Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE NIGHT+AHK+SD+ MBUX,101.971 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Diesel, Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"SUV / Geländewagen / Pickup, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE INNEN+NIGHT+AHK+SD,104.022 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE INNEN+NIGHT+AHK+SD,104.022 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Diesel, Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE INNEN+NIGHT+AHK+SD,104.022 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Diesel, Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"SUV / Geländewagen / Pickup, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE NIGHT+MBUX+SD+ AHK,99.919 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Benzin/Elektro), Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE NIGHT+MBUX+SD+ AHK,99.919 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Benzin, Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz AMG GT Roadster,98.990 € (Brutto),28.260 km,3.982 cm³,350 kW (476 PS),Benzin,Automatik,2017,09/2017,2,2/3,Euro6,Cabrio / Roadster,1,-1
Mercedes-Benz GLC -Klasse Coupe 63 S AMG 4Matic/VOLL//SOFORT//,99.800 € (Brutto),9.000 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,09/2020,5,4/5,Euro6d-TEMP,SUV / Geländewagen / Pickup,1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE INNEN+NIGH+AHK+ SD,101.971 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE INNEN+NIGH+AHK+ SD,101.971 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Diesel, Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE INNEN+NIGH+AHK+ SD,101.971 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Diesel, Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"SUV / Geländewagen / Pickup, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE INNEN+SD+AHK+ MBUX,101.971 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Hybrid (Diesel / Elektro), Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE INNEN+SD+AHK+ MBUX,101.971 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Diesel, Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"Sportwagen / Coupé, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLC 300 de 4M Coupé EXCLUSIVE INNEN+SD+AHK+ MBUX,101.971 € (Brutto),3.000 km,1.950 cm³,143 kW (194 PS),"Diesel, Plug-in-Hybrid",Automatik,-1,12/2020,5,4/5,-1,"SUV / Geländewagen / Pickup, Vorführfahrzeug",-1,Unfallfrei
Mercedes-Benz GLS 350 d 4M AMG Sportpaket Panoramadach,96.430 € (Brutto),8.501 km,2.925 cm³,210 kW (286 PS),Diesel,Automatik,-1,12/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz AMG GT 43 4m+ DYNAMIC-PLUS PERF.-ABGAS SITZKLIMA,109.765 € (Brutto),8.050 km,2.999 cm³,270 kW (367 PS),Benzin,Automatik,-1,08/2020,4,4/5,Euro6d,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S -Klasse Maybach S 560 4M*Exklusiv*Burmester 3D,111.499 € (Brutto),30.000 km,3.982 cm³,345 kW (469 PS),Benzin,Automatik,-1,05/2018,5,4/5,-1,Limousine,1,Unfallfrei
Mercedes-Benz Mercedes S63 Cabrio,115.000 €,9.000 km,-1,430 kW (585 PS),Benzin,Automatik,-1,06/2018,-1,-1,-1,Cabrio / Roadster,-1,-1
Mercedes-Benz GLS 400 d 4M AMG WideScreen 360° Stdhzg Pano,109.159 € (Brutto),5.000 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,12/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz S 560 4M Lang AMG Exklusiv Fahrassist. 20 Zoll,100.011 € (Brutto),8.520 km,3.982 cm³,345 kW (469 PS),"Benzin, E10-geeignet",Automatik,-1,06/2020,5,4/5,Euro6d-TEMP,Limousine,1,Unfallfrei
Mercedes-Benz GLS 400 d AMG/PanoD/Distr/AHK/HUD/Mem/360°/Burme,101.670 € (Brutto),3.000 km,2.925 cm³,243 kW (330 PS),"Diesel, E10-geeignet",Automatik,2020,11/2020,7,4/5,Euro6,"SUV / Geländewagen / Pickup, Vorführfahrzeug",1,Unfallfrei
"Mercedes-Benz E 53 AMG 4M CABRIO NIGHT DISTRONIC UPE 121500,-",100.011 € (Brutto),8.300 km,2.999 cm³,320 kW (435 PS),Benzin,Automatik,2020,12/2020,4,2/3,Euro6d,Cabrio / Roadster,1,-1
Mercedes-Benz GLE 400 d Cp. 4M AMG WideScreen 360° Stdhzg,100.100 € (Brutto),8.500 km,2.925 cm³,243 kW (330 PS),Diesel,Automatik,-1,10/2020,-1,4/5,Euro6,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz GLE 350 d Cp. 4M AMG WideScreen 360° Stdhzg,95.800 € (Brutto),3.000 km,2.925 cm³,200 kW (272 PS),Diesel,Automatik,-1,10/2020,-1,4/5,Euro6,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz 280 SL Pagode,95.900 €,6.735 km,2.748 cm³,125 kW (170 PS),Benzin,Automatik,-1,07/1970,2,2/3,-1,Cabrio / Roadster,1,-1
"Mercedes-Benz S63 AMG 4 Matic Keramik Magic-Sky Swarovski 20""",103.000 € (Brutto),95.000 km,5.461 cm³,430 kW (585 PS),Benzin,Automatik,-1,04/2018,4,2/3,Euro6,Sportwagen / Coupé,-1,Unfallfrei
Mercedes-Benz G 63 AMG EDITION *VOLLAUST+DESIGNO-MAGNO+21'AMG*,95.850 €,30.000 km,5.461 cm³,420 kW (571 PS),Benzin,Automatik,-1,12/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz GLE 63 AMG,99.999 €,12.000 km,-1,430 kW (585 PS),Benzin,Automatik,-1,01/2017,5,4/5,-1,SUV / Geländewagen / Pickup,-1,Unfallfrei
Mercedes-Benz AMG GLC 63 S 4M+ Coupé 20/Performance/DriversP/,95.292 € (Brutto),8.500 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,08/2020,5,4/5,Euro6d-TEMP,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz C 63 S AMG Drivers P. HUD Burmester Comand,101.037 € (Brutto),8.900 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,08/2020,4,2/3,Euro6d-TEMP,"Sportwagen / Coupé, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz Mercedes-AMG GT S NP 195.000/BRABUS/600PS Autom.,95.400 € (Brutto),12.500 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,2016,05/2016,2,2/3,Euro6,Sportwagen / Coupé,1,Unfallfrei
Mercedes-Benz S 63 AMG 4Matic Facelift Umbau *VOLLAUSTATTUNG*,95.550 €,96.000 km,5.461 cm³,430 kW (585 PS),Benzin,Automatik,-1,05/2016,4,2/3,Euro6,Cabrio / Roadster,5,-1
Mercedes-Benz S 63 L AMG 4Matic+/Fond/Bi Colorleder/Panorama,99.890 €,59.990 km,3.982 cm³,450 kW (612 PS),Benzin,Automatik,2017,09/2017,5,4/5,Euro6,Limousine,2,-1
Mercedes-Benz G 350 2021 sofort lieferbar,106.800 €,50 km,2.925 cm³,210 kW (286 PS),Diesel,Automatik,-1,12/2020,5,4/5,Euro6c,SUV / Geländewagen / Pickup,-1,Unfallfrei
Mercedes-Benz C 63 S Cabrio 360° MULTIB S COMAND DiversP PerfA,99.859 € (Brutto),4.870 km,3.982 cm³,375 kW (510 PS),Benzin,Automatik,-1,07/2020,4,2/3,Euro6,"Cabrio / Roadster, Vorführfahrzeug",1,Unfallfrei
Mercedes-Benz G 350 d designo manufaktur Edition AMG Styling,95.000 € (Brutto),39.500 km,2.987 cm³,180 kW (245 PS),Diesel,Automatik,-1,10/2017,5,4/5,Euro6,SUV / Geländewagen / Pickup,1,-1
Mercedes-Benz S 560 Cabrio AMG LINE 9G-TRONIC,105.490 €,11.900 km,3.982 cm³,345 kW (469 PS),Benzin,Automatik,-1,05/2018,4,2/3,Euro6,Cabrio / Roadster,2,Unfallfrei
